what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954225002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954226431
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1414954227644
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1414954230856
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.indent",1414954247254
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1414954284459
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1414954285382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954285717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954290921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954294646
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954295586
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954296771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954320492
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954322185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954328073
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954330358
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954340015
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414954343813
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954346501
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954348928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954354144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414954354686
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414954355147
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414954358165
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1414954367019
