what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1414951562853
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1414951562878
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414951571987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414951573780
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414951578705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414951578763
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414951579277
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414951579301
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414951582886
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414951588247
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414951588361
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414951592345
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414951601871
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414951601937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414951602381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414951602442
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1414951611334
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1414951612929
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1414951612941
