what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417281747571
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1417281748162
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1417281749987
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417281803838
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417281805588
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417281808448
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417281811872
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417281815171
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417281815171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417281815229
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417281864536
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417281875158
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1417281969414
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417281974973
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417281979868
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417281980348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417281993462
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282006227
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1417282015424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417282020117
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417282020567
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417282111545
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417282112540
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282114819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282115722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282116963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282127653
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417282137736
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417282138160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282140767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282178137
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1417282179658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417282182922
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417282183834
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417282184875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282187408
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282224853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282244693
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282253048
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417282283583
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417282284600
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282288631
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282292799
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282293916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282304256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417282354017
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417282354416
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282360629
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282379766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417282383428
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417282385076
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282387469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417282394484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1417282444954
