what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1414981730091
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1414981730169
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1414981730213
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1414981737801
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414981743889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414981744304
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1414981745061
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1414981746348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981746696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981749957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981766840
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981779413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1414981821336
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1414981821688
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981822052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981825442
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1414981830167
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1414981846270
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981864759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981869279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414981888503
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414981889966
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1414981890782
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1414981892080
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981892429
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981895983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414981902080
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414981902438
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1414981903200
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1414981904512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981904855
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981908220
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1414981915598
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1414981916008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981916371
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981920037
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981922628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981962021
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414981976665
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414981982480
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414981985473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414981987428
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414981989367
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414981991201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414981992466
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414981993792
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1414981994901
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1414981996460
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414981996786
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414982000526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414982001080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414982127741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414982154913
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414985024788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414985027010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414985030711
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414985035227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414989013980
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414989015095
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415422907418
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415422908142
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415422912724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415422913909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415423268541
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415423285293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415482357701
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415482365266
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1415482449068
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1415482526790
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.open.quick.type.hierarchy",1415482527381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415482529080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415482754250
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415482756784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415482766412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415482905813
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415482953562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415482954446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415482957946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483158900
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415483159031
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415483161766
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415483162442
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1415483235058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1415483237230
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415483238602
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1415483239677
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483240063
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483252585
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483253701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483267426
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483270569
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483271216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483280952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483330994
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1415483336995
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1415483337968
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415483341418
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1415483342625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483343002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483343641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483344256
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483345429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483346898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483348097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483349019
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483360508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1415483376840
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1415483377813
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415483398104
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1415483399570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415483399915
