what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417365490262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366097201
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366122751
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366123563
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366151736
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366161767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366164938
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417366166023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366167424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366189055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417366193436
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417366193788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366195243
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366211103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417366214928
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417366215360
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366227645
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366585973
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366595951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366599382
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417366603060
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417366603429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417366605068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417367058471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417367064383
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417367065261
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417367066577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417367069716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417367071745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417367135966
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417367144208
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417367144545
