what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411358930782
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411358931163
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411358931406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411358937115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411358998875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411359015153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411359017531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411359132965
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411359152479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411359187505
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411359451218
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411359451650
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411359451995
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411359454206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411359455215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411359667145
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1411359667177
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411359668264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411359793072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411359888591
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411359917165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411360217476
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411360224258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411360278248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411360294426
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411360362904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411360430157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411360498241
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411360499459
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411360499819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411360502066
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411360504033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411360616953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411360650539
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411360736279
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411360737487
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411360737806
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411360740028
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411360740894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411360805995
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411361054875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411361062974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411361071778
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411361072643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411361073003
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411361075197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411361080673
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411361156672
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1411361196252
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411361201825
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411361214545
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411361214919
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411361215252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411361377198
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411361400780
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411361407711
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362073014
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362073862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362074690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362089022
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362095094
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362132478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362134857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362309088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411362388939
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411362394529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411362444468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411362446140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411362462366
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411362462767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362463143
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362464750
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411362468792
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411362470188
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411362679319
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1411362687246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411362691473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411362698071
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411362706294
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411362715425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411362739933
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411362740875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362741258
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362743473
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362746907
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362816132
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411362825362
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411362830251
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1411362832577
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411362833188
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411362851196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411362854165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411362857999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411362860970
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411362863971
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362864318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362866621
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362868303
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411362989593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363039704
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363044217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363120518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363148147
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411363170327
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363174057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363212220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363213647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363265141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411363367584
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363386386
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1411363389306
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363391691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411363401126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363402280
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411363443852
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363445030
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363449141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411363453157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363454442
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411363457200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363458482
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411363461353
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363462440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411363464192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363465462
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411363467674
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363469497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363496937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411363498071
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411363502868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363503709
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411363510276
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411363510635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363511053
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363512654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363519403
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363540369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363548136
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363550751
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363553591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363555601
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363556516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363557649
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411363572404
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363576868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363579977
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363584695
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411363607896
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363608921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411363610161
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411363632307
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411363632700
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363633127
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363634550
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411363636661
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411363636734
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411363636766
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411363639621
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411363648454
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411363650540
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363650872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363652419
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411363654417
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411363654514
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411363654541
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411363657679
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411363672993
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411363673375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363673722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411363675278
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411363677588
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411363677619
