what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411771514433
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411771514495
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411771516463
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411771518940
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411771521023
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411771521082
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411771522415
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1411771530443
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411771533919
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411771534005
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411771534036
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411771536560
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411771537647
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411771538193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411771538642
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411771540564
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411771542117
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411771542235
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411771542291
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411771544954
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411771554148
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411771582495
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411771595522
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411771597154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411771603589
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411771604892
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411771605267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411771608087
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1411771620894
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411771648118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411771648964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411771651862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411783350013
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411783368487
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411783776258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411783805903
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411783812930
