what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491268085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491300867
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491304205
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491345297
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491347647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491371703
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415491373828
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1415491375288
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491375687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491383492
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491385710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491423188
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415491423328
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415491457741
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415491458611
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1415491467363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491467718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491471050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491475196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491573369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415491587403
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493053303
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415493057370
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1415493059616
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493059958
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493063547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493064576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493187144
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493243394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493253282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493256798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493259024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493260437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493265692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493267768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493268681
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493275690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493276846
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493291230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493306520
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493311534
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493317418
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415493323223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493411303
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493464178
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415493475472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493488820
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493500077
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415493518413
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415493519372
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415493528848
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493535033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415493541957
