what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411431397815
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411431397869
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411431407103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411431412523
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411431415528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431415883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431417679
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411431420810
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411431420892
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411431420922
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411431425305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411431434742
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411431435933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431436297
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431437935
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411431446238
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411431455243
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411431457176
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411431458895
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411431458927
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411431467863
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431472566
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431476864
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1411431483164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431485180
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431488582
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411431494129
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411431515166
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411431515676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431516150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431517775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431524712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431536632
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411431540101
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411431540176
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1411431540216
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411431541606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431549260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431587141
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431623860
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431625687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431627554
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431628730
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431629622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431630798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431638038
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431644499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431647165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431648186
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431699050
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431702297
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431707337
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431738473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1411431768474
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411431772485
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411431772920
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411431773258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411431773601
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411431775755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411431776363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431795323
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411431797848
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431989922
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411431993929
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411431994480
