what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288347205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288348813
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288375617
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288376879
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288388727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288389675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288444496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288464650
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288487292
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1417288502554
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288577485
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288581984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417288595213
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417288596103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288598166
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288630150
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1417288637189
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417288638538
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417288639425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288640205
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288656414
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417288671564
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417288672471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288674089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288682265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417288684885
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417288685789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417288686516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299230182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299235145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299264459
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417299264626
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417299267425
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417299273596
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417299273645
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417299273671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299277974
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299279453
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417299279520
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417299317229
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1417299371387
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.indent",1417299373983
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417299407330
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417299606079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417299611138
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299648598
error,log,,,"Unhandled event loop exception",1417299649567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299649622
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417299702201
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299703902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299765980
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299767877
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299802430
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417299803880
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417299808758
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1417299811669
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417299814595
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1417299816930
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.indent",1417299819064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299829722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299830742
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417299848227
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417299855188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299867391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417299973213
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1417299974059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417299974888
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1417299979902
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.indent",1417299983051
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417299994928
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417299995252
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300002432
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300038161
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1417300039378
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417300041690
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417300053920
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417300055028
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300066798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300081979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300083123
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300188011
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1417300189749
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417300190568
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417300195499
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417300195908
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417300205416
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1417300213522
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417300214242
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1417300214289
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417300217170
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417300220198
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417300223024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300224501
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300755553
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1417300757267
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417300757371
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1417300757405
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417300759556
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1417300762467
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417300763514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417300766618
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417300770084
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417300772110
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1417300773166
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417300780348
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417300828618
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1417300833130
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417300833920
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417300835409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417300838231
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417300838620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300853791
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300931847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300967383
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300968061
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300968748
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300970342
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300972884
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300980684
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417300999475
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417301001114
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417301017991
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417301018372
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417301026258
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417301026921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417301027665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417301040748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417301140640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417303322752
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417303324960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417303332785
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417303366145
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417305179916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417311824733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417311840109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417362780601
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417362785250
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417362797167
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417362801300
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417362801355
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417362801379
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417362802035
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417362812574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417362814139
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1417362828500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417362830233
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417362835801
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417362850075
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417362889429
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417362889719
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1417362901256
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417362901338
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1417362901389
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417362907081
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417362913903
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417362915520
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417362924436
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417362928653
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417362933736
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1417362950153
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417362951239
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417362953752
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417362962507
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417362962960
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417362974123
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417363123389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417363125205
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417363319005
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417363323734
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417363351285
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417363360571
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1417363372879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417363394919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417363426876
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1417363428590
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417363430850
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417363470817
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417363471204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417363512068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417363534223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417363536896
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417363575564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417363580639
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417363606154
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417363612861
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417363631554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417363633651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417363635705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1417363637139
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1417363641606
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1417363641999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1417363650657
