what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682298483
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411682311784
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411682312202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682312580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682315083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682410857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682455481
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411682464736
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411682465124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682465559
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682467994
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682469236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682504295
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411682513126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411682513441
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411682513798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411682514118
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411682514415
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411682514765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411682515223
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411682516460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411682537017
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411682537398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682537756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682540310
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682541310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682558990
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411682564500
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411682564939
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682565302
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682567793
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682568852
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682609683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411682615920
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411682616934
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682617291
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682619818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682620388
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682692383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411682698191
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411682698429
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411682698658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411682699008
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411682699350
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682711234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682712106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682713306
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682779011
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1411682819808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411682842818
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1411682858653
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411682875286
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411682877142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682877497
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682880067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682881831
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682882646
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682884954
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682898258
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1411682904729
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411682907093
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411682907529
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682907887
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682910588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682911470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682942975
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411682951694
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411682953942
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411682954312
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411682955318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682955689
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682958119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682959179
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411682969892
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411682972059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411682972967
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1411683037900
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411683044930
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.indent",1411683106855
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411683112560
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411683177258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411683180246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411683184058
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411683185818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411683186178
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411683186281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411683188820
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411683190390
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1411683191237
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411683192137
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411683195014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411683199341
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411683201584
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411683226761
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411683236854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411683237207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411683239714
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411683240932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411683265262
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411683291003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411683291161
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411683352848
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411683356486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411683357371
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411683357889
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411683359247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411683359663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411683362197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411683362915
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411683408305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411683433607
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411683433958
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411683434349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411683436513
